BOS Sir I created a new env with python 3.7 but the library for which I got error &quot;mkl-random==1.1.0&quot; is not compatible with python 3.7  EOS,O O O O O O O O O O O O O O O O O O O O O O O O O O,need_help
BOS above problem how will it solve ?? EOS,O O O O O O O O O,need_help
BOS Hello sir is there anyone EOS,O O O O O O O,Greetings
BOS i think canvas login problem was due to browser.. I tried in chrome and it worked EOS,O O O O O O O O O O O O O O O O O O,great
BOS Please provide me with the link to python class. EOS,O O O O O O O O O O O,community_class_link
BOS Understood  EOS,O O O,great
BOS Tq EOS,O O O,welocme_reply
BOS so ill just copy paste what I wanted to know EOS,O O O O O O O O O O O O,need_help
BOS sir any sujjestion to overcome this error? EOS,O O O O O O O O O,need_help
"BOS np.random.choice([&apos;Goal Area&apos;, &apos;Goal Line&apos;],1,p=[0.7590347263095939, 0.24096527369040613])[0] EOS",O O O O O O O,code_error
BOS in pands exercise 3rd one EOS,O O O O O O O,assignment_pandas
BOS actually I got the data set ..but I don&apos;t get what this question means EOS,O O O O O O O O O O O O O O O O,assignment_doubt
BOS In assignment 3 ...question no 2 has ....how many comprehension lists EOS,O O O O O O O O O O O O O,assignment_doubt
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d2-b725f2eebb633e387c178d5b19d85242 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d2-b725f2eebb633e387c178d5b19d85242/views/imgt1_anim type=Picture.1 doc_id=0-sa-d2-b725f2eebb633e387c178d5b19d85242 width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-b725f2eebb633e387c178d5b19d85242>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-b725f2eebb633e387c178d5b19d85242</a><OriginalName v=Untitled.png></OriginalName><FileSize v=188953></FileSize><meta type=photo originalName=Untitled.png></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
"BOS And do we need any vigorous practice on competitive programming,  in order to build our logical ability in python? EOS",O O O O O O O O O O O O O O O O O O O O O,yes_reply
BOS I applied for Python in Depth and Power BI course. I am yet to get access to dashboard. Could you please take care? EOS,O O O O O O O O O O O O O O O O O O O O O O O O O,support_ticket_generate
BOS Yes EOS,O O O,more_query
BOS ok can you check and tell me my registered id is <a href=mailto:paragjp@gmail.com>paragjp@gmail.com</a> and register mobile no is 9820445920 EOS,O O O O O O O O O O O O O O O O O O O O O,need_help
BOS <MediaAlbum albumId=21edcfcd-20f2-4f64-ae84-6f0162b2dc6a></MediaAlbum> EOS,O O O O,O
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-f7085f22ed60d2b39185288669a063b8 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-f7085f22ed60d2b39185288669a063b8/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-f7085f22ed60d2b39185288669a063b8 width=2048 height=1536>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-f7085f22ed60d2b39185288669a063b8>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-f7085f22ed60d2b39185288669a063b8</a><OriginalName v=1600889318206.JPEG></OriginalName><FileSize v=68629></FileSize><meta type=photo originalName=1600889318206.JPEG></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
BOS how to open terminal from the project folder to execute the git command EOS,O O O O O O O O O O O O O O O,need_help
BOS Please call me  EOS,O O O O O,need_skype_call
"BOS Actually I am pursuing my MSc in Data Analytics.I was having bootcamp during the weekend. Hence, I couldn&apos;t attend the classes on 17th and 18th Oct.Now I&apos;m going through the recordings.I feel so confident after attending the trainings from iNeuron. Thank you so much! EOS",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,Thank_you
BOS Thank you  EOS,O O O O,Thank_you
"BOS because , Sentimental analysis is highly co-related to brand awreness and hence i want to multiply it with every variable â€¦.so plz guide me or enlighten me if am doing wrong  EOS",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,code_error
BOS can i call now? EOS,O O O O O O,need_skype_call
BOS Hi EOS,O O O,Greetings
BOS it will not show anything for download  EOS,O O O O O O O O O,need_help
BOS then what will be the population mean EOS,O O O O O O O O O,stats
BOS in same way i tried to execute another one and getting this issue EOS,O O O O O O O O O O O O O O O,need_help
BOS i am Shiva from course ml22ndFEB batch EOS,O O O O O O O O O,enter_query
BOS hi EOS,O O O,Greetings
BOS thank you so much EOS,O O O O O O,Thank_you
BOS okay Thank you <ss type=smile>:-)</ss> EOS,O O O O O O O,Thank_you
BOS Sir my internship meeting is tomorrow . And those who ll not attend will not go further. But I requested many times through mail and this medium that I have a family function in rural area so I may not be able  to  attend the session. So I asked to pls suggest me whether I should cancel the trip or not. But no response was given . And now I m in a rural area and I need atleast 3 days to move from here as transport problem is there. So what should I do?Will  I lose my internship chance? EOS,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,internship_query
"BOS oh thank You, not jus one i hope all 3 of my assignments will be viewd n evaluated successfully. EOS",O O O O O O O O O O O O O O O O O O O O O,sure
BOS Hello sir is there anyone? EOS,O O O O O O O,Greetings
BOS Please enroll me for the next internship...i would be great favor EOS,O O O O O O O O O O O O O,internship_query
BOS is todays class cancelled? EOS,O O O O O O,class_link
BOS sir i have a problem in a code of class method using super EOS,O O O O O O O O O O O O O O O,python_super_class
BOS still getting the same error EOS,O O O O O O O,need_help
"BOS I have not got the dashboard access for BI and Tableu, Can you please help EOS",O O O O O O O O O O O O O O O O O,power-bi_tableau_dashboard
BOS after restart the system how to open navigator EOS,O O O O O O O O O O,anaconda_navigator_open
BOS okay..after that i will be able to deploy successfully or something else needs to do ?<e_m a=kumar.deepu35 ts_ms=1591872017054 ts=1591872017 t=61></e_m> EOS,O O O O O O O O O O O O O O O O O O O O O O,deployment
BOS Hi EOS,O O O,Greetings
BOS now this new error arises in image scrapper  EOS,O O O O O O O O O O,image_scrapper
BOS done sir connected EOS,O O O O O,great
"BOS Hello Sir, I would like to know when will next batch of intern will start? EOS",O O O O O O O O O O O O O O O O O,internship_query
"BOS Where we take word file as input, Word file can have text related to some article EOS",O O O O O O O O O O O O O O O O O O,word_file_input_query
BOS sir i think my file is also ok just the point is url is showing incorrect EOS,O O O O O O O O O O O O O O O O O O,need_help
BOS how to install all package in pycharm  ?? EOS,O O O O O O O O O O,need_help
BOS I received an email from Ineuron about an internship. Can you explain about the internship? I have not completed the course and what is the skill of doing an internship. and how many months it will be taken to complete the internship. EOS,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,internship_query
BOS i want to complete Power BI project which started on 27th april  EOS,O O O O O O O O O O O O O O,powerbi_query
BOS When ll I get the resume discussion slot or it is sent alredy or what is the status about it? EOS,O O O O O O O O O O O O O O O O O O O O O O,resume_query
BOS Okay.  EOS,O O O,Thank_you
BOS <partlist type=started alt= callId=09c2960b-57d3-4da7-afd5-8f9a1b860f78><part identity=live:.cid.b6267eb447e04148><name>Saritha Jaligama</name></part><part identity=live:.cid.4933a22bf564744><name>support@ineuron.ai</name></part></partlist> EOS,O O O O O O O O O,O
BOS ok sir EOS,O O O O,good_bye
BOS thanks  EOS,O O O,Thank_you
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107/views/imgt1_anim type=Picture.1 doc_id=0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-e79ee4a78d141d897c18f1fc36d2d107</a><OriginalName v=1600596548920.JPEG></OriginalName><FileSize v=215553></FileSize><meta type=photo originalName=1600596548920.JPEG></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
BOS if i wrote a flask program.. where can i see the output?<e_m a=live:.cid.b6267eb447e04148 ts_ms=1602774084422 ts=1602774084 t=61></e_m> EOS,O O O O O O O O O O O O O O O O O O,need_help
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317/views/imgt1_anim type=Picture.1 doc_id=0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317 width=118 height=140>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-2d9b91dbc7cfb076b1234dd0a298f317</a><OriginalName v=image_2020_09_18T14_31_36_537Z.png></OriginalName><FileSize v=1565></FileSize><meta type=photo originalName=image_2020_09_18T14_31_36_537Z.png></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
BOS ok EOS,O O O,good_bye
BOS Thank you sir  EOS,O O O O O,Thank_you
BOS hello sir EOS,O O O O,Greetings
BOS yes same env is there  EOS,O O O O O O O,O
BOS ok sir EOS,O O O O,Thank_you
BOS Thnx EOS,O O O,welocme_reply
BOS but I was just curious what was the use of that code here  EOS,O O O O O O O O O O O O O O O,code_error
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-cus-d3-dca8040ee453f537d2f7de40e8764534 url_thumbnail=https://api.asm.skype.com/v1/objects/0-cus-d3-dca8040ee453f537d2f7de40e8764534/views/imgt1_anim type=Picture.1 doc_id=0-cus-d3-dca8040ee453f537d2f7de40e8764534 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-cus-d3-dca8040ee453f537d2f7de40e8764534>https://login.skype.com/login/sso?go=xmmfallback?pic=0-cus-d3-dca8040ee453f537d2f7de40e8764534</a><OriginalName v=1601363724603.JPEG></OriginalName><FileSize v=30851></FileSize><meta type=photo originalName=1601363724603.JPEG></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
BOS since the beginning of the class EOS,O O O O O O O O,great
BOS already done EOS,O O O O,great
BOS full stack developer when will it started ?? EOS,O O O O O O O O O O,course_details
BOS okay EOS,O O O,more_query
BOS have did that also EOS,O O O O O O,support_ticket_generate
BOS ok please let me check EOS,O O O O O O O,sure
BOS I have send it again could you please check it? EOS,O O O O O O O O O O O O,need_help
BOS For this piece of code where I am trying to convert string to floatdf1[&quot;Sub_metering_1&quot;] = df1[&quot;Sub_metering_1&quot;].astype(float)I am getting this erro: EOS,O O O O O O O O O O O O O O O O O O O O O O,python_conversion_datatype
BOS Please check  EOS,O O O O,need_help
BOS Got it EOS,O O O O,okay_reply
BOS how to fix it ?? EOS,O O O O O O O,need_help
BOS hii sir EOS,O O O O,Greetings
BOS Could you please have a look at it? EOS,O O O O O O O O O O,need_help
BOS i need some advice and guidance from you? my apologies for bothering you with these frivolous questions EOS,O O O O O O O O O O O O O O O O O O O,need_help
"BOS Hi, I have not received the dashboard for PowerBI EOS",O O O O O O O O O O O,power-bi_tableau_dashboard
BOS But i am getting a error So could you please help me to resolve this error  EOS,O O O O O O O O O O O O O O O O O O,need_help
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-815f931bedb4e96c9d2c68fd116fef58 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-815f931bedb4e96c9d2c68fd116fef58/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-815f931bedb4e96c9d2c68fd116fef58 width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-815f931bedb4e96c9d2c68fd116fef58>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-815f931bedb4e96c9d2c68fd116fef58</a><OriginalName v=Untitled.png></OriginalName><FileSize v=114118></FileSize><meta type=photo originalName=Untitled.png></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
BOS yes i got dashboard EOS,O O O O O O,okay_reply
BOS Ohh sorry EOS,O O O O,good_bye
BOS Am jun 6 ML/DL batch  EOS,O O O O O O O,batch_details
BOS hello sir my pyspark installation is still not working EOS,O O O O O O O O O O O,pyspark
BOS it is showing invalid syntex error EOS,O O O O O O O O,code_error
BOS okay thank you EOS,O O O O O,good_bye
BOS Hi EOS,O O O,Greetings
BOS sorry is this Sudhanshu sir? EOS,O O O O O O O,Greetings
"BOS   File &quot;&lt;ipython-input-51-26854ce631bc&gt;&quot;, line 4    print scipy.stats.ttest_ind(rvs1,rvs2)              ^SyntaxError: invalid syntax EOS",O O O O O O O O O O O,code_error
BOS I have taken a dataset on Google review from the UCI...I am going to do on this sir EOS,O O O O O O O O O O O O O O O O O O O O,great
BOS what is auto scaling ? i don&apos;t know EOS,O O O O O O O O O O,need_help
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8 width=2048 height=1536>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-5a6ab284bee4924a4e594e7619ee15d8</a><OriginalName v=1600889318206.JPEG></OriginalName><FileSize v=68629></FileSize><meta type=photo originalName=1600889318206.JPEG></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
BOS sirr what to do for mkl-random? EOS,O O O O O O O O,need_help
BOS Respected sir/madam the zoom id for ml class at 3.00 PM shows expired is it okay? EOS,O O O O O O O O O O O O O O O O O O,class_link
BOS Please fix this issue ASAP  EOS,O O O O O O O,need_help
BOS Good morning  EOS,O O O O,Greetings
BOS sir was ping to chat box  EOS,O O O O O O O O,need_help
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d2-1136ae148036bc4c71b10e8e445ba46f url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d2-1136ae148036bc4c71b10e8e445ba46f/views/imgt1_anim type=Picture.1 doc_id=0-sa-d2-1136ae148036bc4c71b10e8e445ba46f width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-1136ae148036bc4c71b10e8e445ba46f>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-1136ae148036bc4c71b10e8e445ba46f</a><OriginalName v=1601814183441.JPEG></OriginalName><FileSize v=55002></FileSize><meta type=photo originalName=1601814183441.JPEG></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d4-87944ff43602b89f9e9ab2084e76499f url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d4-87944ff43602b89f9e9ab2084e76499f/views/imgt1_anim type=Picture.1 doc_id=0-sa-d4-87944ff43602b89f9e9ab2084e76499f width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-87944ff43602b89f9e9ab2084e76499f>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-87944ff43602b89f9e9ab2084e76499f</a><OriginalName v=Untitled.png></OriginalName><FileSize v=193390></FileSize><meta type=photo originalName=Untitled.png></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
BOS is Machine learning a pre-requisite? EOS,O O O O O O O,enter_query
BOS PlotlyRequestError: Authentication credentials were not provided. EOS,O O O O O O O O,PlotlyRequestError
BOS is anybody there? EOS,O O O O O,yes_reply
BOS hi EOS,O O O,Greetings
BOS sir can we have a call now? EOS,O O O O O O O O O,need_skype_call
BOS Hi EOS,O O O,Greetings
BOS i want to replace non values in not rated EOS,O O O O O O O O O O O,need_help
BOS Hi EOS,O O O,Greetings
"BOS <URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c/views/imgt1_anim type=Picture.1 doc_id=0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-2fe6081aeab3ef538c97b6437fe4f58c</a><OriginalName v=1600596520292.JPEG></OriginalName><FileSize v=165667></FileSize><meta type=photo originalName=1600596520292.JPEG></meta></URIObject> EOS",O O O O O O O O O O O O O O O O O O O O O,O
